artnr;cross_ref;familie_code;familie_naam;omschrijving;hoek;draadsoort_1;draadmaat_1;connectie_type_1;draadsoort_2;draadmaat_2;connectie_type_2;tube_od_mm;tube_od_inch;bron_pagina
2244-02-02;2HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;1/8-28;buiten;BSPP;1/8-28;buiten;;;1
2244-02-04;4-2HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;1/4-19;buiten;BSPP;1/8-28;buiten;;;1
2244-04-04;4HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;1/4-19;buiten;BSPP;1/4-19;buiten;;;1
2244-04-06;6-4HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;3/8-19;buiten;BSPP;1/4-19;buiten;;;1
2244-06-06;6HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;3/8-19;buiten;BSPP;3/8-19;buiten;;;1
2244-04-08;8-4HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;1/2-14;buiten;BSPP;1/4-19;buiten;;;1
2244-06-08;8-6HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;1/2-14;buiten;BSPP;3/8-19;buiten;;;1
2244-08-08;8HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;1/2-14;buiten;BSPP;1/2-14;buiten;;;1
2244-08-10;10-8HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;5/8-14;buiten;BSPP;1/2-14;buiten;;;1
2244-10-10;10HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;5/8-14;buiten;BSPP;5/8-14;buiten;;;1
2244-04-12;12-4HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;3/4-14;buiten;BSPP;1/4-19;buiten;;;1
2244-06-12;12-6HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;3/4-14;buiten;BSPP;3/8-19;buiten;;;1
2244-08-12;12-8HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;3/4-14;buiten;BSPP;1/2-14;buiten;;;1
2244-10-12;12-10HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;3/4-14;buiten;BSPP;5/8-14;buiten;;;1
2244-12-12;12HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;3/4-14;buiten;BSPP;3/4-14;buiten;;;1
2244-08-16;16-8HMK4S;2244;Union;BSPP 60° Cone end;recht;BSPP;1-11;buiten;BSPP;1/2-14;buiten;;;1
