artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm)
0187ST-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. GLOBALCORE W.P. 70 BAR;Parker;187ST-10;70;;;;;;;;
0187ST-12;NO-SKIVE 19.1MM (3/4) DN19 S.T. GLOBALCORE W.P. 70 BAR;Parker;187ST-12;70;;;;;;;;
0187ST-16;NO-SKIVE 25.4MM (1) DN25 T.C. GLOBALCORE W.P. 70 BAR;Parker;187ST-16;70;;;;;;;;
0187ST-20;NO-SKIVE 31.8MM (11/4) DN31 S.T. GLOBALCORE W.P. 70 BAR;Parker;187ST-20;70;;;;;;;;
0187ST-24;NO-SKIVE 38.1MM (11/2) DN38 S.T. GLOBALCORE W.P. 70 BAR;Parker;187ST-24;70;;;;;;;;
0187ST-32;NO-SKIVE 50.8MM (2) DN50 T.C. GLOBALCORE W.P. 70 BAR;Parker;187ST-32;70;;;;;;;;
0187TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMPACT 2SC W.P. 70 BAR;Parker;187TC-24;70;;;;;;;;
0187TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. GLOBALCORE W.P. 70 BAR;Parker;187TC-32;70;;;;;;;;
0187TC-40;NO-SKIVE 63.5MM (2-1/2) DN63 T.C. COMPACT 2SC W.P. 70 BAR 46;Parker;187TC-40;70;;;;;;;;
0201-04;3/16 R5/J1402AII HOSE 201-4;Parker;201-4;207;;;;;;;;
0201-05;1/4 R5/J1402AII HOSE 201-5;Parker;201-5;207;;;;;;;;
0201-06;5/16 R5/J1402AII HOSE 201-6;Parker;201-6;155;;;;;;;;
0201-08;13/32 R5/J1402AII HOSE 201-8;Parker;201-8;138;;;;;;;;
0201-12;5/8 R5/J1402AII HOSE 201-12;Parker;201-12;103;;;;;;;;
0201-16;PARKER HOSE 201-16 7/8″ R5/J1402AII;Parker;201-16;55;;;;;;;;
0201-20;1-1/8 R5/J1402AII HOSE 201-20;Parker;201-20;43;;;;;;;;
0201-24;1-3/8 R5/J1402AII HOSE 201-24;Parker;201-24;35;;;;;;;;
0201-32;1-13/16 R5/J1402AII HOSE 201-32;Parker;201-32;24;;;;;;;;
0304-04;NO-SKIVE 6.3MM (1/4) DN06 SAE100R2AT W.P. 345 BAR PH.ESTER 3;Parker;304-4;345;;;;;;;;
0304-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R2AT W.P. 275 BAR PH.ESTER 3;Parker;304-6;275;;;;;;;;
0304-08;NO-SKIVE 12.7MM (1/2) DN12 SAE100R2AT W.P. 240 BAR PH.ESTER;Parker;304-8;240;;;;;;;;
0304-12;NO-SKIVE 19.1MM 3/4 DN19 SAE100R2AT W.P. 155 BAR PH.ESTER;Parker;304-12;155;;;;;;;;
0304-16;NO-SKIVE 25.4MM (1) DN25 SAE100R2AT W.P. 138 BAR PH.ESTER 30;Parker;304-16;138;;;;;;;;
0304-20;NO-SKIVE 31.8MM (11/4) DN32 SAE100R2AT WP.112 BAR PH.ESTER;Parker;304-20;112;;;;;;;;
0304-24;NO-SKIVE 38.1MM (11/2) DN38 SAE100R2AT WP.90 BAR PH.ESTER;Parker;304-24;86;;;;;;;;
0304-32;NO-SKIVE 50.8MM (2) DN50 SAE100R2AT W.P. 78 BAR PH.ESTHER 30;Parker;304-32;78;;;;;;;;
0311-04;421SN NO-SKIVE 6.3MM (1/4) DN06 R1AT 1SN W.P. 225 BAR;Parker;421SN-4;225;13002-04MM;15,5;;;;;;
0311-05;421SN NO-SKIVE 7.9MM (5/16) DN08 R1AT 1SN W.P. 215 BAR;Parker;421SN-5;215;13002-05MM;17,8;;;;;;
0311-06;421SN NO-SKIVE 9.5MM (3/8) DN10 R1AT 1SN W.P. 180 BAR;Parker;421SN-6;180;13002-06MM;20,4;;;;;;
0311-08;421SN NO-SKIVE 12.7MM (1/2) DN12 R1AT 1SN W.P. 160 BAR;Parker;421SN-8;160;13002-08MM;23,4;;;;;;
0311-10;421SN NO-SKIVE 15.9MM (5/8) DN16 R1AT 1SN W.P. 130 BAR;Parker;421SN-10;130;13002-10MM;26,8;;;;;;
0311-12;421SN NO-SKIVE 19.1MM (3/4) DN20 R1AT 1SN W.P. 105 BAR;Parker;421SN-12;105;13002-12MM;31;;;;;;
0311-16;421SN NO-SKIVE 25.4MM (1) DN25 R1AT 1SN W.P. 88 BAR;Parker;421SN-16;88;13002-16MM;38,8;;;;;;
0311-20;421SN NO-SKIVE 31.8MM (1-1/4) DN32 R1AT 1SN W.P. 63 BAR;Parker;421SN-20;63;13002-20MM;48;;;;;;
0311-24;421SN NO-SKIVE 38.1MM (1-1/2) DN40 R1AT 1SN W.P. 50 BAR;Parker;421SN-24;50;13002-24MM;55,2;;;;;;
0311-32;421SN NO-SKIVE 50.8MM (2) DN50 R1AT 1SN W.P. 40 BAR;Parker;421SN-32;40;13002-32MM;68,4;;;;;;
0312-04;NO-SKIVE 6.3MM (1/4) DN06 SAE100R1AT 1SN W.P. 225 BAR;Interpump;TFD0011-04;225;13002-04MM;15,5;;;;;;
0312-05;NO-SKIVE 7.9MM (5/16) DN08 SAE100R1AT 1SN W.P. 215 BAR;Interpump;TFD0011-05;215;13002-05MM;17,8;;;;;;
0312-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R1AT 1SN W.P. 180 BAR;Interpump;TFD2012-06;180;13002-06MM;20,4;;;;;;
0312-08;NO-SKIVE 12.7MM (1/2) DN12 SAE100R1AT 1SN W.P. 160 BAR;Interpump;TFD0012-08;160;13002-08MM;23,4;;;;;;
0312-10;NO-SKIVE 15.9MM (5/8) DN16 SAE100R1AT 1SN W.P. 130 BAR;Interpump;TFD0011-10;130;13002-10MM;26,8;;;;;;
0312-12;NO-SKIVE 19.1MM (3/4) DN20 SAE100R1AT 1SN W.P. 105 BAR;Interpump;TFD0012-12;105;13002-12MM;31;;;;;;
0312-16;NO-SKIVE 25.4MM (1) DN25 SAE100R1AT 1SN W.P. 88 BAR;Interpump;TFD0011-16;88;13002-16MM;38,8;;;;;;
0312-20;NO-SKIVE 31.8MM (1-1/4) DN32 SAE100R1AT 1SN W.P. 63 BAR;Interpump;TFD0012-20;63;13002-20MM;48;;;;;;
0312-24;NO-SKIVE 38.1MM (1-1/2) DN40 SAE100R1AT 1SN W.P. 50 BAR;Interpump;TFD0011-24;50;13002-24MM;55,2;;;;;;
0312-32;NO-SKIVE 50.8MM (2) DN50 SAE100R1AT 1SN W.P. 40 BAR;Interpump;TFD0012-32;40;13002-32MM;68,4;;;;;;
0314-04;TRELL-JETT 1 WIRE TYPE 581 DN06 W.P. 400 BAR;Trelleborg;TJ581+100DN06;400;13002-04MM;15,3;;;13002-04;14,6;;
0314-05;TRELL-JETT 1 WIRE TYPE 581 DN08 W.P. 400 BAR;Parker;0314-05;400;13002-05MM;16,9;;;13002-05;16,7;;
0314-06;TRELL-JETT 1 WIRE TYPE 581 DN10 W.P. 400 BAR;Trelleborg;TJ581+100DN10;400;13002-06MM;19,8;;;13002-06;18,5;;
0314-08;TRELL-JETT 1 WIRE TYPE 581 DN12 W.P. 350 BAR;Trelleborg;TJ581-13 1/2 BLUE +100 2910470;350;13002-08MM;22,6;;;13002-08;22,3;;
0315-05;TRELL-JETT 2 WIRE TYPE 580 DN08 W.P. 650 BAR;Trelleborg;TJ580+100DN8;650;13000-05;19;;23;;;;
0315-06;TRELL-JETT 2 WIRE TYPE 580 DN10 W.P. 650 BAR;Trelleborg;2910370-TJ580-10 3/8″ BLUE100+;650;13000-06;20,8;;24;;;;
0315-08;TRELL-JETT 2 WIRE TYPE 580 DN12 W.P. 500 BAR;Trelleborg;2910420-TJ580-13-1/2″ BLUE100+;500;13000-08;24,4;;26;;;;
0317-04;2SC 6.3MM (1/4) DN06 COMPACT W.P. 400 BAR BLUE;Interpump;THB002K-04;400;NTB;15,5;;;13000-04;16,8;;23
0317-05;2SC 7.9MM (5/16) DN08 COMPACT W.P. 400 BAR BLUE;Interpump;TFB002KN05;400;NTB;17,8;;;13000-05;19;;23
0317-06;2SC 9.5MM (3/8) DN10 COMPACT W.P. 400 BAR BLUE;Interpump;THB0021-06;400;NTB;20,4;;;13000-06;20,8;;24
0317-08;2SC 12.7MM (1/2) DN12 COMPACT W.P. 400 BAR BLUE;Interpump;TCB2E42-08M005;400;13000-08;24,4;;26;;;;
0319-06;2SC 9.5MM (3/8) DN10 COMPACT W.P. 500 BAR BLUE;Interpump;TFB002K-06EI;500;NTB;20,4;;;13000-06;20,8;;24
0323-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 1SC.250 BAR LONGLIFE;Interpump;THE201K-04;250;13002-04MM;15,1;;;;;;
0323-04-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 1SC W.P. 250 BAR TWIN LONG;Interpump;T2E101KI04;250;13002-04MM;15,1;;;;;;
0323-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 1SC.250 BAR LONGLIFE;Interpump;THE201K-05;250;13002-05MM;16,9;;;;;;
0323-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 1SC W.P. 250 BAR LONGLIFE;Interpump;THE201K-06;250;13002-06MM;19,4;;;;;;
0323-06-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 1SC W.P. 250 BAR TWIN LONG;Interpump;T2E101K-06;250;13002-06MM;19,4;;;;;;
0323-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 1SC W.P. 200 BAR LONGLIF;Interpump;THE201K-08;200;13002-08MM;22,1;;;;;;
0323-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 1SC.150 BAR LONGLIFE;Interpump;THE201K-10;150;13002-10MM;26;;;;;;
0323-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT 1SC.150 BAR LONGLIFE;Interpump;THE201K-12;150;13002-12MM;29,8;;;;;;
0323-16;NO-SKIVE 25.4MM (1) DN25 COMPACT 1SC.110 BAR LONGLIFE;Interpump;THE201K-16;110;13002-16MM;37,4;;;;;;
0323-20;NO-SKIVE 31.8MM (11/4) DN32 COMPACT 1SC. 100 BAR LONGLIFE;Interpump;THE201K-20;100;13002-20MM;45,5;;;;;;
0323-24;NO-SKIVE 38.1MM (11/2) DN40 COMPACT 1SC. 90 BAR LONGLIFE;Interpump;THE201K-24;90;13002-24MM;53,6;;;;;;
