artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Pilaar;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Pilaar;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm);1delig_1;1delig_1 - Persmaat (mm);1delig_1 - Insteekdiepte (mm);1delig_1 - Schilmaat intern (mm);1delig_1 - Schilmaat extern (mm);1delig_2;1delig_2 - Persmaat (mm);1delig_2 - Insteekdiepte (mm);1delig_2 - Schilmaat intern (mm);1delig_2 - Schilmaat extern (mm);1delig_3;1delig_3 - Persmaat (mm);1delig_3 - Insteekdiepte (mm);1delig_3 - Schilmaat intern (mm);1delig_3 - Schilmaat extern (mm)
0187ST-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. GLOBALCORE W.P. 70 BAR;Parker;187ST-10;70;;;;;;;;;;;48;26,9;25;;;43;27,2;40;;;;;;;
0187ST-12;NO-SKIVE 19.1MM (3/4) DN19 S.T. GLOBALCORE W.P. 70 BAR;Parker;187ST-12;70;;;;;;;;;;;48;30,75;25;;;43;31,9;25;;;;;;;
0187ST-16;NO-SKIVE 25.4MM (1) DN25 T.C. GLOBALCORE W.P. 70 BAR;Parker;187ST-16;70;;;;;;;;;;;48;38,35;30;;;;;;;;;;;;
0187ST-20;NO-SKIVE 31.8MM (11/4) DN31 S.T. GLOBALCORE W.P. 70 BAR;Parker;187ST-20;70;;;;;;;;;;;48;50,3;46;;;43;51,3;48;;;;;;;
0187ST-24;NO-SKIVE 38.1MM (11/2) DN38 S.T. GLOBALCORE W.P. 70 BAR;Parker;187ST-24;70;;;;;;;;;;;48;58,4;37;;;;;;;;;;;;
0187ST-32;NO-SKIVE 50.8MM (2) DN50 T.C. GLOBALCORE W.P. 70 BAR;Parker;187ST-32;70;;;;;;;;;;;48;69,7;46;;;;;;;;;;;;
0187TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMPACT 2SC W.P. 70 BAR;Parker;187TC-24;70;;;;;;;;;;;48;58,4;37;;;;;;;;;;;;
0187TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. GLOBALCORE W.P. 70 BAR;Parker;187TC-32;70;;;;;;;;;;;48;69,7;46;;;;;;;;;;;;
0187TC-40;NO-SKIVE 63.5MM (2-1/2) DN63 T.C. COMPACT 2SC W.P. 70 BAR 46;Parker;187TC-40;70;;;;;;;;;;;48;80,7;55;;;;;;;;;;;;
0201-04;3/16 R5/J1402AII HOSE 201-4;Parker;201-4;207;;;;;;;;;;;26;12,95;21;;;;;;;;;;;;
0201-05;1/4 R5/J1402AII HOSE 201-5;Parker;201-5;207;;;;;;;;;;;26;14,50;21;;;;;;;;;;;;
0201-06;5/16 R5/J1402AII HOSE 201-6;Parker;201-6;155;;;;;;;;;;;26;15,90;21;;;;;;;;;;;;
0201-08;13/32 R5/J1402AII HOSE 201-8;Parker;201-8;138;;;;;;;;;;;26;18,30;21;;;;;;;;;;;;
0201-12;5/8 R5/J1402AII HOSE 201-12;Parker;201-12;103;;;;;;;;;;;26;24,50;22;;;;;;;;;;;;
0201-16;PARKER HOSE 201-16 7/8″ R5/J1402AII;Parker;201-16;55;;;;;;;;;;;26;31,10;25;;;;;;;;;;;;
0201-20;1-1/8 R5/J1402AII HOSE 201-20;Parker;201-20;43;;;;;;;;;;;26;37,35;25;;;;;;;;;;;;
0201-24;1-3/8 R5/J1402AII HOSE 201-24;Parker;201-24;35;;;;;;;;;;;26;43,70;27;;;;;;;;;;;;
0201-32;1-13/16 R5/J1402AII HOSE 201-32;Parker;201-32;24;;;;;;;;;;;26;56,15;32;;;;;;;;;;;;
0304-04;NO-SKIVE 6.3MM (1/4) DN06 SAE100R2AT W.P. 345 BAR PH.ESTER 3;Parker;304-4;345;;;;;;;;;;;43;17,65;21;;;;;;;;;;;;
0304-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R2AT W.P. 275 BAR PH.ESTER 3;Parker;304-6;275;;;;;;;;;;;43;22,20;29;;;;;;;;;;;;
