artikelnummer,[Items.Description],draadsoort,maat,stand,type
10212-02-04,CR. FITT. METR. BANJO STR. 1/8 X DN06,banjo,1/8,0,
10212-10-03,CR. FITT. METR. BANJO STR. 10MM X DN05,banjo,10MM,0,
10212-10-04,CR. FITT. METR. BANJO STR. 10MM X DN06,banjo,10MM,0,
10212-10-05,CR. FITT. METR. BANJO STR. 10MM X DN08,banjo,10MM,0,
10212-12-03,CR. FITT. METR. BANJO STR. 12MM X DN05,banjo,12MM,0,
10212-12-04,CR. FITT. METR. BANJO STR. 12MM X DN06,banjo,12MM,0,
10212-12-05,CR. FITT. METR. BANJO STR. 12MM X DN08,banjo,12MM,0,
10212-13-03,CR. FITT. METR. BANJO STR. 1/4 X DN05,banjo,1/4,0,
10212-13-04,CR. FITT. METR. BANJO STR. 1/4 X DN06,banjo,1/4,0,
10212-13-05,CR. FITT. METR. BANJO STR. 1/4 X DN08,banjo,1/4,0,
10212-13-06,CR. FITT. METR. BANJO STR. 1/4 X DN10,banjo,1/4,0,
10212-14-04,CR. FITT. METR. BANJO STR. 14MM X DN06,banjo,14MM,0,
10212-14-05,CR. FITT. METR. BANJO STR. 14MM X DN08,banjo,14MM,0,
10212-14-06,CR. FITT. METR. BANJO STR. 14MM X DN10,banjo,14MM,0,
10212-16-05,CR. FITT. METR. BANJO STR. 16MM X DN08,banjo,16MM,0,
10212-16-06,CR. FITT. METR. BANJO STR. 16MM X DN10,banjo,16MM,0,
10212-17-04,CR. FITT. METR. BANJO STR. 3/8 X DN06,banjo,3/8,0,
10212-17-05,CR. FITT. METR. BANJO STR. 3/8 X DN08,banjo,3/8,0,
10212-17-06,CR. FITT. METR. BANJO STR. 3/8 X DN10,banjo,3/8,0,
10212-17-08,CR. FITT. METR. BANJO STR. 3/8 X DN12,banjo,3/8,0,
10212-18-05,CR. FITT. METR. BANJO STR. 18MM X DN08,banjo,18MM,0,
10212-18-06,CR. FITT. METR. BANJO STR. 18MM X DN06,banjo,18MM,0,
10212-18-08,CR. FITT. METR. BANJO STR. 18MM X DN12,banjo,18MM,0,
10212-21-05,CR. FITT. METR. BANJO STR. 1/2 X DN08,banjo,1/2,0,
10212-21-06,CR. FITT. METR. BANJO STR. 1/2 X DN10,banjo,1/2,0,
10212-21-08,CR. FITT. METR. BANJO STR. 1/2 X DN12,banjo,1/2,0,
10212-22-06,CR. FITT. METR. BANJO STR. 22MM X DN10,banjo,22MM,0,
10212-22-08,CR. FITT. METR. BANJO STR. 22MM X DN12,banjo,22MM,0,
10212-22-10,CR. FITT. METR. BANJO STR. 22MM X DN16,banjo,22MM,0,
10212-23-10,CR. FITT. METR. BANJO STR. 5/8 X DN16,banjo,5/8,0,
10212-26-08,CR. FITT. METR. BANJO STR. 26MM X DN12,banjo,26MM,0,
10212-26-12,CR. FITT. METR. BANJO STR. 26MM X DN20,banjo,26MM,0,
