artnr;omschrijving
9122-04-316L;STAINLESS STEEL WIRE BRAID AISI 316 I.D. - 9.6MM
9122-05-316L;STAINLESS STEEL WIRE BRAID AISI 316 I.D. - 14.3MM
9122-06-316L;STAINLESS STEEL WIRE BRAID AISI 316 I.D. - 16.7MM
9122-08-316L;STAINLESS STEEL WIRE BRAID AISI 316 I.D. - 21.6MM
9122-10-316L;STAINLESS STEEL WIRE BRAID AISI 316 I.D. - 26.8MM
9122-12-316L;STAINLESS STEEL WIRE BRAID AISI 316 I.D. - 32.2MM
9122-16-316L;STAINLESS STEEL WIRE BRAID AISI 316 I.D. - 41.1MM
9122-20-316L;STAINLESS STEEL WIRE BRAID AISI 316 I.D. - 49.8MM
9122-24-316L;STAINLESS STEEL WIRE BRAID AISI 316 I.D. - 60.3MM
9122-32-316L;STAINLESS STEEL WIRE BRAID AISI 316 I.D. - 80.3MM
9122-40-316L;STAINLESS STEEL WIRE BRAID AISI 316 I.D. - 80.8MM
