Artikelcode;Onderdeel;Positie;Diameter 1;Diameter 2;Bouwgroep;Enkel / Dubbel;Materiaal;Materiaalcode;Serie;Variant / specificatie;Status
100A PA;Beugel;2;0;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
10168 AL;Beugel;2;168;;10;Enkel;Aluminium;AL;Zwaar;;OK
10168 PA;Beugel;2;168;;10;Enkel;Polyamide;PA;Zwaar;;OK
10168 PP;Beugel;2;168;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10177,8 PP;Beugel;2;177,8;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10190 PP;Beugel;2;190;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10193,7 PP;Beugel;2;193,7;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10219 AL;Beugel;2;219;;10;Enkel;Aluminium;AL;Zwaar;;OK
10219 PA;Beugel;2;219;;10;Enkel;Polyamide;PA;Zwaar;;OK
10219 PP;Beugel;2;219;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10219.1 PP;Beugel;2;219.1;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
10220 PP;Beugel;2;220;;10;Enkel;Polypropyleen;PP;Zwaar;;OK
103,2 PA;Beugel;2;3,2;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
103,2 PP;Beugel;2;3,2;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
103,2/03,2 PA;Beugel;2;3,2;3,2;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
103,2/03,2 PP;Beugel;2;3,2;3,2;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
103,2A PA;Beugel;2;3,2;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
103/03 PA;Beugel;2;3;3;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
105 PP;Beugel;2;5;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
106 PA;Beugel;2;6;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
106 PP;Beugel;2;6;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
106 PPH;Beugel;2;6;;1;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
106 SA;Beugel;2;6;;1;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
106,4 PA;Beugel;2;6,4;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
106,4 PAH;Beugel;2;6,4;;1;Enkel;Polyamide;PAH;Licht (standaard);;OK
106,4 PP;Beugel;2;6,4;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
106,4 PPH;Beugel;2;6,4;;1;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
106,4/06,4 ACT;Beugel;2;6,4;6,4;1;Dubbel;ACT;ACT;Licht (standaard);;OK
106,4/06,4 PA;Beugel;2;6,4;6,4;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
106,4/06,4 PAH;Beugel;2;6,4;6,4;1;Dubbel;Polyamide;PAH;Licht (standaard);;OK
106,4/06,4 PP;Beugel;2;6,4;6,4;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
106,4/06,4 PP ACHV;Beugel;2;6,4;6,4;1;Dubbel;Polypropyleen;PP;Licht (standaard);ACHV;OK
106,4A ACT;Beugel;2;6,4;;1A;Enkel;ACT;ACT;Licht (standaard);;OK
106,4A AL;Beugel;2;6,4;;1A;Enkel;Aluminium;AL;Licht (standaard);;OK
106,4A PA;Beugel;2;6,4;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
106,4A PAH;Beugel;2;6,4;;1A;Enkel;Polyamide;PAH;Licht (standaard);;OK
106,4A PP;Beugel;2;6,4;;1A;Enkel;Polypropyleen;PP;Licht (standaard);;OK
106,4A PP ACHV;Beugel;2;6,4;;1A;Enkel;Polypropyleen;PP;Licht (standaard);ACHV;OK
106,4A PPH;Beugel;2;6,4;;1A;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
106/06 ACT;Beugel;2;6;6;1;Dubbel;ACT;ACT;Licht (standaard);;OK
106/06 PA;Beugel;2;6;6;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
106/06 PA V0;Beugel;2;6;6;1;Dubbel;Polyamide;PA;Licht (standaard);V0;OK
106/06 PP;Beugel;2;6;6;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
106/06 PP-BK;Beugel;2;6;6;1;Dubbel;Polypropyleen;PP-BK;Licht (standaard);;OK
106A ACT;Beugel;2;6;;1A;Enkel;ACT;ACT;Licht (standaard);;OK
106A AL;Beugel;2;6;;1A;Enkel;Aluminium;AL;Licht (standaard);;OK
106A PA;Beugel;2;6;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
106A PA V0;Beugel;2;6;;1A;Enkel;Polyamide;PA;Licht (standaard);V0;OK
106A PP;Beugel;2;6;;1A;Enkel;Polypropyleen;PP;Licht (standaard);;OK
106A PPH;Beugel;2;6;;1A;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
108 PA;Beugel;2;8;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
108 PP;Beugel;2;8;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
108 PPH;Beugel;2;8;;1;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
108.7/08.7 PP;Beugel;2;8.7;8.7;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
108/06 PP;Beugel;2;8;6;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
108/08 PA;Beugel;2;8;8;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
108/08 PP;Beugel;2;8;8;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
108/08 PP-BK;Beugel;2;8;8;1;Dubbel;Polypropyleen;PP-BK;Licht (standaard);;OK
108A ACT;Beugel;2;8;;1A;Enkel;ACT;ACT;Licht (standaard);;OK
108A AL;Beugel;2;8;;1A;Enkel;Aluminium;AL;Licht (standaard);;OK
108A PA;Beugel;2;8;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
108A PAH;Beugel;2;8;;1A;Enkel;Polyamide;PAH;Licht (standaard);;OK
108A PP;Beugel;2;8;;1A;Enkel;Polypropyleen;PP;Licht (standaard);;OK
108A PP-BK;Beugel;2;8;;1A;Enkel;Polypropyleen;PP-BK;Licht (standaard);;OK
108A PPH;Beugel;2;8;;1A;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
108A SA;Beugel;2;8;;1A;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
108A SAH;Beugel;2;8;;1A;Enkel;SA / elastomeer;SAH;Licht (standaard);;OK
109,5 PA;Beugel;2;9,5;;1;Enkel;Polyamide;PA;Licht (standaard);;OK
109,5 PAH;Beugel;2;9,5;;1;Enkel;Polyamide;PAH;Licht (standaard);;OK
109,5 PP;Beugel;2;9,5;;1;Enkel;Polypropyleen;PP;Licht (standaard);;OK
109,5 PPH;Beugel;2;9,5;;1;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
109,5/09,5 ACT;Beugel;2;9,5;9,5;1;Dubbel;ACT;ACT;Licht (standaard);;OK
109,5/09,5 PA;Beugel;2;9,5;9,5;1;Dubbel;Polyamide;PA;Licht (standaard);;OK
109,5/09,5 PAH;Beugel;2;9,5;9,5;1;Dubbel;Polyamide;PAH;Licht (standaard);;OK
109,5/09,5 PP;Beugel;2;9,5;9,5;1;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
109,5/09,5 PP ACHV;Beugel;2;9,5;9,5;1;Dubbel;Polypropyleen;PP;Licht (standaard);ACHV;OK
109,5/09,5 PPH;Beugel;2;9,5;9,5;1;Dubbel;Polypropyleen;PPH;Licht (standaard);;OK
109,5/09,5 PPH-BK;Beugel;2;9,5;9,5;1;Dubbel;Polypropyleen;PPH-BK;Licht (standaard);;OK
109,5A ACT;Beugel;2;9,5;;1A;Enkel;ACT;ACT;Licht (standaard);;OK
109,5A AL;Beugel;2;9,5;;1A;Enkel;Aluminium;AL;Licht (standaard);;OK
109,5A PA;Beugel;2;9,5;;1A;Enkel;Polyamide;PA;Licht (standaard);;OK
109,5A PAH;Beugel;2;9,5;;1A;Enkel;Polyamide;PAH;Licht (standaard);;OK
109,5A PP;Beugel;2;9,5;;1A;Enkel;Polypropyleen;PP;Licht (standaard);;OK
109,5A PP ACHV;Beugel;2;9,5;;1A;Enkel;Polypropyleen;PP;Licht (standaard);ACHV;OK
109,5A PPH;Beugel;2;9,5;;1A;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
